gap_um,SM_eta_percent,MM_eta_percent,MCF_eta_percent,MM_minus_SM_percentage_points,MCF_minus_SM_percentage_points,MCF_minus_MM_percentage_points,MM_over_SM,MCF_over_SM,MCF_over_MM
0,0.00409380482,0.0961581831,0.00254822819,0.0920643783,-0.00154557664,-0.0936099549,23.4887073,0.622459618,0.0265003779
10,0.00268847885,0.088180798,0.00269515837,0.0854923191,6.67951251e-06,-0.0854856396,32.7995133,1.0024845,0.0305640052
20,0.00183462416,0.0806710856,0.00222276698,0.0788364614,0.000388142823,-0.0784483186,43.9714506,1.21156531,0.0275534532
30,0.00131459561,0.070877056,0.00150955693,0.0695624604,0.000194961325,-0.0693674991,53.9154821,1.14830517,0.0212982454
40,0.00099014965,0.0617849044,0.000912577594,0.0607947547,-7.75720561e-05,-0.0608723268,62.3995619,0.92165623,0.0147702356
50,0.000776056619,0.0562295832,0.000592214264,0.0554535266,-0.000183842354,-0.0556373689,72.4555166,0.763107034,0.0105320764
60,0.000622005436,0.0490854676,0.000416893629,0.0484634622,-0.000205111807,-0.048668574,78.9148532,0.670241134,0.00849321905
70,0.000507085522,0.0434350466,0.000252555579,0.042927961,-0.000254529942,-0.043182491,85.6562546,0.498053225,0.00581455758
80,0.000423511959,0.0412086289,0.000126949974,0.0407851169,-0.000296561984,-0.0410816789,97.3021613,0.299755348,0.00308066485
90,0.000361038004,0.0387818693,4.74963546e-05,0.0384208313,-0.00031354165,-0.0387343729,107.417692,0.131555,0.00122470514
100,0.000312271998,0.034850864,1.82425767e-05,0.034538592,-0.000294029421,-0.0348326214,111.604192,0.0584188682,0.0005234469
110,0.00027593152,0.0308760761,2.03896695e-05,0.0306001446,-0.00025554185,-0.0308556864,111.897605,0.0738939484,0.000660371138
120,0.000249942963,0.027418204,2.83208946e-05,0.027168261,-0.000221622068,-0.0273898831,109.697843,0.11330943,0.00103292304
130,0.00023071232,0.0255103662,2.68457371e-05,0.0252796539,-0.000203866583,-0.0254835205,110.572189,0.116360223,0.00105234621
140,0.000215541986,0.0228626647,1.63730586e-05,0.0226471227,-0.000199168928,-0.0228462916,106.070585,0.07596227,0.000716148305
150,0.000202671771,0.0212727027,8.93326781e-06,0.021070031,-0.000193738503,-0.0212637695,104.96135,0.044077514,0.000419940424
160,0.000190636698,0.0206198908,5.14123379e-06,0.0204292541,-0.000185495464,-0.0206147495,108.163281,0.0269687518,0.000249333706
170,0.00017814868,0.0202223866,3.12942496e-06,0.0200442379,-0.000175019255,-0.0202192572,113.514098,0.0175663663,0.000154750526
180,0.000163998237,0.0191395773,1.79839213e-06,0.018975579,-0.000162199845,-0.0191377789,116.705994,0.0109659235,9.39619565e-05
190,0.000147939354,0.0183389234,8.2314525e-07,0.0181909841,-0.000147116209,-0.0183381003,123.962441,0.00556407221,4.48851457e-05
200,0.000131123521,0.0170052657,2.75714808e-07,0.0168741422,-0.000130847806,-0.01700499,129.688904,0.00210271054,1.6213496e-05
